                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4363,                 1.6376,                 2.2693,                0.88186,                0.55942,                0.67378,                0.41939,                 3.2618,                 4.2204,                 2.6034,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                  0.924,                0.64327,                 1.9173,                0.87807,                0.56047,                0.69821,                0.42662,                 3.2781,                 4.2768,                 2.6139,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.2536,                  1.121,                 2.1552,                0.87807,                0.56047,                0.69821,                0.42662,                 3.2781,                 4.2768,                 2.6139,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.2654,                 1.0155,                 2.1389,                0.87807,                0.56047,                0.69821,                0.42662,                 3.2781,                 4.2768,                 2.6139,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.4741,                 1.1741,                 2.2761,                0.88146,                0.56121,                0.69685,                0.42492,                 3.3225,                 4.2872,                  2.611,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.0549,                 1.0093,                 2.1323,                0.88146,                0.56121,                0.69685,                0.42492,                 3.3225,                 4.2872,                  2.611,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.2238,                 1.1794,                 2.1478,                0.88146,                0.56121,                0.69685,                0.42492,                 3.3225,                 4.2872,                  2.611,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.1506,                 1.2329,                 1.9664,                0.88146,                0.56121,                0.69685,                0.42492,                 3.3225,                 4.2872,                  2.611,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.2112,                 1.4509,                 2.4964,                0.88319,                0.55994,                0.69752,                0.44159,                  3.288,                 4.3543,                 2.6201,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.9735,                 1.2452,                  2.884,                0.88319,                0.55994,                0.69752,                0.44159,                  3.288,                 4.3543,                 2.6201,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.2049,                0.96541,                 1.9305,                0.88319,                0.55994,                0.69752,                0.44159,                  3.288,                 4.3543,                 2.6201,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.85745,                0.64619,                 1.7238,                0.88319,                0.55994,                0.69752,                0.44159,                  3.288,                 4.3543,                 2.6201,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                  1.194,                 1.0128,                 1.7936,                 0.8965,                 0.5528,                0.69523,                0.45261,                 3.2532,                 4.1924,                 2.6516,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.71406,                0.63102,                 1.7613,                 0.8965,                 0.5528,                0.69523,                0.45261,                 3.2532,                 4.1924,                 2.6516,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.93076,                 0.8836,                 1.6953,                 0.8965,                 0.5528,                0.69523,                0.45261,                 3.2532,                 4.1924,                 2.6516,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.80408,                 0.5856,                 1.7356,                 0.8965,                 0.5528,                0.69523,                0.45261,                 3.2532,                 4.1924,                 2.6516,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.74854,                 0.5603,                 1.8483,                0.89066,                0.55145,                0.69248,                0.45089,                 3.1965,                 4.1603,                 2.6357,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.0681,                0.74473,                 1.8038,                0.89066,                0.55145,                0.69248,                0.45089,                 3.1965,                 4.1603,                 2.6357,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.85148,                0.60304,                 1.7395,                0.89066,                0.55145,                0.69248,                0.45089,                 3.1965,                 4.1603,                 2.6357,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.98728,                0.63156,                 1.8497,                0.89066,                0.55145,                0.69248,                0.45089,                 3.1965,                 4.1603,                 2.6357,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.73837,                0.66692,                 1.7171,                0.69375,                   0.65,                0.69525,                0.45392,                 3.1972,                 4.0751,                 2.6375,             2.3444e-06,             2.3444e-06,             2.3444e-06
